Pokemon,Method,Time,Location,Available,Notes
Combee,Static,Any,Route 3 (South),4 - Narcissa,
Combee,Static,Any,Botanical Garden,11 - Magenta & Neon,
Corphish,Static,Any,Jynnobi Pass,6 - Crawli,
Corsola,Static,Any,Mynori Sea,6 - Crawli,
Corsola,Static,Any,Aquamarine Cave,7 - Angie,
Corsola (Galarian),Static,Night,Mynori Sea,6 - Crawli,
Cubone,Static,Any,Route 4 (Central/East),5 - Valarie,
Cyndaquil,Event,Any,Caratos Mountain,8 - Amber,"Cyndaquil egg, requires Magma Drift"
Cyndaquil,Static,Any,Atebit Kingdom,15 - Saki,"Head east of the cave Isha was in, and take the ladder up to the Volcano."
Darumaka,Event,Any,Festival Plaza,11 - Magenta & Neon,Follow this guide to complete the puzzle: https://www.rebornevo.com/forums/topic/29088-timburr-puzzle-strategy-guide-4x4-rotation/
Deerling,Static,Any,Route 7,10 - Flora,
Deino,Event,Any,The Underground,.Karma Files,Complete Missing Children quest
Dewpider,Static,Any,Forlorned Cavern,12 - Souta,Complete the SPU Delivery quest
Diancie,Story,Any,Game Show,Renegade,Only available if you didn't kill Karrina in Castle Zygara
Ducklett,Static,Any,Akuwa Town,5 - Valarie,Egg
Dugtrio,Static,Any,Darchlight Caves,10 - Flora,
Durant,Arcade,Any,GDC Arcade,13 - Adam,
Duskull,Static,Night,Route 4 (North),5 - Valarie,
Eevee,Event,Any,Maman's Garden,5 - Valarie,Upgrade the garden twice.
Eevee,Event,Any,Rose Theatre,12 - Souta,Complete the Kimono Girl quest. Has access to the move Transform.
Elekid,Static,Any,Helojak Factory,6 - Crawli,"After the story events, return to the rooftop."
Elgyem,Event,Any,The Hidden Library,2 - Keta,Collect all the colored books in the east room
Emolga,Static,Any,Route 4 (Central/East),5 - Valarie,
Empoleon,Static,Any,Spring of Preservation,13 - Adam,
Entei,Static,Any,Alamissa Urben,.Karma Files,Not available on Renegade
Espurr,Event,Any,Wispy Path,4 - Narcissa,Befriend Espurr. +1 Karma
Falinks,Static,Any,Alamissa Urben,13 - Adam,
Fennekin,Event,Any,Kakori Village,15 - Saki,Hand over the stick from Eclysia Pyramid to the Fennekin Girl.
Flababe,Static,Any,Route 4 (Central/East),5 - Valarie,
Fletchling,Static,Any,Oceana Pier,1 - Venam,
Fomantis,Static,Any,Route 7,10 - Flora,
Froakie,Event,Any,Akuwa Aquarium,14 - Ryland,Donate all 34 Pokemon required Pokemon to the aquarium
Furfrou,Trade,Any,The Underground,12 - Souta,8 Yellow Shards
Garbodor,Static,Any,Corrupted Cave,8 - Amber,
Gastly,Event,Any,Wispy Treasury,13 - Adam,Open Door 9
Gastrodon,Static,Any,Helojak Island,6 - Crawli,
Genesect,Story,Any,Game Show,Renegade,
Geodude,Static,Any,Route 7,10 - Flora,
Gible,Static,Any,Zone Zero,15 - Saki,Complete the Lux Apartments puzzle
Gligar,Static,Any,Zorrialyn Coast,13 - Adam,
Golduck,Static,Any,Aquamarine Cave,7 - Angie,
Gossifleur,Static,Any,Gearen Park,2 - Keta,Feed a GourmetTreat
Gothita,Event,Any,Sheridan Village,3 - Marianette,"Defeat Gothitelle, located in the east house."
Graveler,Static,Any,Route 7,10 - Flora,
Grimer (Alolan),Static,Any,Corrupted Cave,8 - Amber,
Grookey,Static,Any,Tyluric Temple,13 - Adam,
Growlithe,Event,Any,Terajuma Jungle,6 - Crawli,
Growlithe (Hisuian),Static,Any,Valor Mountain (Fiery),8 - Amber,
Happiny,Trade,Any,The Underground,12 - Souta,6 Blue Shards
Hawlucha,Static,Any,Route 8,13 - Adam,
Helioptile,Casino,Any,Chrisola Hotel,1 - Venam,"6,500 Coins"
Heracross,Static,Any,Valor Mountain (Rocky),8 - Amber,
Hippowdon,Static,Night,Sand Stream Cave,13 - Adam,
Hoothoot,Static,Any,Route 4 (Central/East),5 - Valarie,
Hoppip,Static,Morning,Deep Terajuma (South),5 - Valarie,
Horsea,Event,Any,Festival Plaza,11 - Magenta & Neon,Chance to receive in Aquarium Mystery
Horsea,Static,Any,Aquamarine Ruins,14 - Ryland,
Houndour,Event,Any,Amethyst Cave,2 - Keta,Complete Karrina's Sidequest
Impidimp,Static,Any,Darchlight Woods,10 - Flora,
Indeedee,Event,Any,Marble Mansion,9 - Erick,
Inkay,Event,Any,Kakori Help Plaza,9 - Erick,Complete the Infinite Potential quest
Jangmo-o,Trade,Any,Zorrialyn Desert,15 - Saki,Aevian Jangmo-o
Jangmo-o (Aevian),Event,Any,Luck's Tent,15 - Saki,Complete Poisonous Luck
Joltik,Trade,Any,The Underground,12 - Souta,2 Yellow Shards
Jynx,Event,Any,Route 11,6 - Crawli,
Kabuto,Static,Any,3rd Layer,15 - Saki,
Kingler,Static,Any,Aquamarine Depths,7 - Angie,
Komala,Static,Any,Route 9,12 - Souta,"Cut down the bamboo pole, located on the north end of Route 9, near the water."
Lapras,Event,Any,Evergreen Cave [South],6 - Crawli,"Freeze the field with blizzard, then break it with bulldoze/earthquake"
Lapras (Aevian),Event,Any,Amethyst Depths,7 - Angie,Break the Crystal Cave field with Earthquake to drop the giant crystal.
Larvesta,Static,Any,Castle Zygara,14 - Ryland,
Litleo,Event,Any,Oceana Pier,1 - Venam,"Complete ""Dangerous Pokemon"" Help Plaza quest."
Litten,Static,Any,Junction Bridge,13 - Adam,"Requires the Dull Key, which is obtained from a person in the Xen Ship in Terajuma Shipyard."
Litwick,Event,Any,Amethyst Depths,7 - Angie," Defeat Rift Chandelure, and place a Cursed Candle on the broken grave"
Lotad,Static,Raining,Deep Terajuma (South),5 - Valarie,
Loudred,Static,Any,Route 1,4 - Narcissa,
Lunatone,Static,Any,Amethyst Depths,2 - Keta,Feed a Gourmet Treat
Magby,Static,Any,Tyluric Temple,8 - Amber,
Magikarp (Aevian),Mystery Egg,Any,Kakori Help Plaza,6 - Crawli,Complete all Kakori Help Plaza requests.
Magikarp (Aevian),Trade,Any,Sashila Village,.Karma Files,Toxapex
Mandibuzz,Static,Any,Zorrialyn Desert,13 - Adam,
Maractus,Casino,Any,Chrisola Hotel,1 - Venam,"5,000 Coins"
Mareanie,Static,Any,S.S Oceana Wreckage,14 - Ryland,
Mareep,Event,Any,Kakori Help Plaza,8 - Amber,Complete the Lurking Lighthouse quest
Mareep (Aevian),Event,Any,Magnolia Library,8 - Amber,Show Zumi a regular Mareep
Mawile,Event,Any,Xen Battleship,5 - Valarie,
Mesprit,Static,Any,Den of Verity,.Karma Files,Den of Verity is located in Goldenwood Park. Not available on Renegade
Mienfoo,Arcade,Any,GDC Arcade,13 - Adam,
Miltank,Event,Any,Yui's Ranch,10 - Flora,Feed the weak Miltank 8 Sitrus Berries
Mime Jr,Event,Any,Madelis Laboratory,2 - Keta,Located in the case locked behind the blue barrier
Mimikyu,Trade,Any,The Underground,12 - Souta,7 Yellow Shards
Minccino,Event,Any,Chrisola Hotel,2 - Keta,Complete Minccino Event in Chrisola Hotel
Misdreavus,Static,Night,Goldenleaf Town,5 - Valarie,
Moltres,Event,Any,Magrodar Crater,.Karma Files,
Mudkip,Static,Any,Helojak Island,7 - Angie,
Munna,Static,Any,Gearen Alleyway,2 - Keta,Feed a Gourmet Treat.
Munna (Aevian),Event,Any,River's End,6 - Crawli,Answer Eizen's questions correctly
Munna (Aevian),Static,Any,Hidden Axis Lab,15 - Saki,
Nidoran Female,Event,Any,East Gearen (Left),1 - Venam,Chase it around the city.
Nidoran Male,Event,Any,Oceana Pier,1 - Venam,"Hiding between a house and tree on the left, Feed a Gourmet Treat"
Octillery,Static,Any,Route 7,10 - Flora,
Omanyte,Static,Any,3rd Layer,15 - Saki,
Orbeetle,Event,Any,Tower of Theolia,7 - Angie,
Oshawott,Event,Any,Route 8,10 - Flora,Complete the Oshawott Quest
Pachirisu,Event,Night,East Gearen (Left),1 - Venam,"Velvet Building, Feed a Gourmet Treat"
Pancham,Trade,Any,Sheridan Arena,2 - Keta,Aipom
Paras,Static,Any,Route 7,10 - Flora,
Paras (Aevian),Static,Any,Corrupted Cave,8 - Amber,"Requires Magma Drift, and Spice Powder."
Passimian,Trade,Any,Teila Resort,7 - Angie,Oranguru
Pelipper,Static,Any,Route 10,13 - Adam,
Petilil,Static,Any,Botanical Garden,11 - Magenta & Neon,
Phantump,Static,Any,Wispy Chasm,5 - Valarie,
Phione,Static,Night,Isle of Angels,8 - Amber,
Pichu,Event,Any,East Gearen Help Plaza,1 - Venam,"Complete ""Battle Me"" Help Plaza quest"
Pidove,Static,Any,Route 4 (Central/East),5 - Valarie,
Pinsir,Static,Any,Kakori Gym,6 - Crawli,
Piplup,Static,Any,Spring of Preservation,6 - Crawli,
Poliwag,Static,Any,Phasial Cave,8 - Amber,Find all 6 Poliwag's
Popplio,Event,Any,Mynori Coral Reef,14 - Ryland,Defeat Neptune
Psyduck,Static,Any,Aquamarine Cave,7 - Angie,
Qwilfish (Hisuian),Event,Any,Route 6,8 - Amber,Use the Stabilizer on the whirlpools
Raikou,Static,Any,Alamissa Urben,.Karma Files,Not available on Renegade
Ralts,Event,Any,V.G.C.R,8 - Amber,"Requires V.G.C.R Key, obtained from Madelis after saving Amber in Valor Mountain.
Items required: 3 cell batteries, 1 Metal Powder, 1 Pokeball"
Regice,Event,Any,Crystal Fairytale,.Karma Files,Complete Anju's quest
Regirock,Event,Any,Garufa Sanctuary,.Karma Files,Complete Vivian's Regret
Registeel,Event,Any,Celgearen Manufactory,.Karma Files,Complete Heart of Iron
Riolu,Static,Any,Pyramid Grounds,15 - Saki,
Rookidee,Arcade,Any,GDC Arcade,13 - Adam,
Rotom,Static,Any,Lost Castle,15 - Saki,Complete Narcissa's Haunting quest
Rowlet,Event,Any,Tyluric Temple,8 - Amber,Complete the My Dearest Rowlet quest
Sableye,Static,Any,Nightmare Toybox,12 - Souta,Available during the Kimono Girls quest
Salazzle,Event,Night,Kakori Village,5 - Valarie,Found during The Kakori Monster
Sandslash,Static,Any,Darchlight Caves,10 - Flora,
Sandyghast,Static,Any,Route 9,12 - Souta,
Sawk,Trade,Any,Sheridan Village,4 - Narcissa,Throh
Scolipede,Static,Any,Route 7,10 - Flora,
Scorbunny,Static,Any,The Lost Garden,13 - Adam,Complete the Lost Souls quest
Scraggy,Event,Any,Wispy Chasm,7 - Angie,"Enter the Chasm from Wispy Tower, and enter door 6"
Scyther,Static,Any,Route 8,13 - Adam,
Seel,Casino,Any,Chrisola Hotel,1 - Venam,"1,000 Coins"
Seviper,Egg,Any,Gearen Alleyway,1 - Venam,East Gearen Gym secret alleyway entrance.
Sewaddle (Aevian),Event,Any,Goldenwood Cave,2 - Keta,Defeat Mars of the Culvier Clan.
Shaymin,Event,Any,Parks and Rec Center,.Karma Files,Complete Parks and Wrecks
Shinx,Event,Any,Chrisola Hotel,2 - Keta,Obtainable after entering Route 2
Shroomish,Trade,Any,Evergreen Island,6 - Crawli,Lopunny
Shroomish (Aevian),Static,Any,Route 8,13 - Adam,
Shuppet,Event,Night,East Gearen (Left),1 - Venam,Enter third floor of Emerald Building at night time.
Sizzlipede,Mystery Egg,Any,Goldenleaf Woods,4 - Narcissa,Mystery egg for defeating Rift Gyarados
Skarmory,Static,Any,Zone Zero,14 - Ryland,
Skiddo,Mystery Egg,Any,Route 2,2 - Keta,"Route 2 Mystery Egg, enter Gemstream cave, go down the ladder, and go all the way south."
Slowpoke (Galarian),Story,Any,Aquamarine Depths,7 - Angie,
Smeargle,Trade,Any,Scholar District,13 - Adam,Masquerain
Smoochum,Trade,Any,Sheridan Village,2 - Keta,Igglybuff
Sneasel,Static,Any,Evergreen Forest,13 - Adam,
Sneasel (Hisuian),Static,Any,SyxtenBit Cave,15 - Saki,
Snorlax,Static,Any,Honec Woods,13 - Adam,
Snorunt,Static,Night,Evergreen Forest,6 - Crawli,
Snorunt (Aevian),Static,Any,Mt. Terajuma,6 - Crawli,
Snubbull,Static,Any,Goldenleaf Town,5 - Valarie,
Sobble,Static,Any,Route 4,14 - Ryland,
Solrock,Event,Any,Amethyst Cave,2 - Keta,"Obtained through the ""Lost Boyfriend"" quest."
Spiritomb,Event,Any,Goldenwood Cave,6 - Crawli,
Spoink,Casino,Any,Chrisola Hotel,1 - Venam,"4,000 Coins"
Squirtle,Static,Any,Secluded Shore,14 - Ryland,
Stantler,Static,Any,Evergreen Forest,6 - Crawli,
Starly,Static,Any,Route 7,10 - Flora,
Starly,Static,Any,Route 8,13 - Adam,
Stufful,Event,Any,Festival Plaza,11 - Magenta & Neon,Land a Powerful on the High Top Strength game
Suicune,Static,Any,Alamissa Urben,.Karma Files,Not available on Renegade
Surskit,Static,Any,Route 3 (North),4 - Narcissa,
Swablu,Static,Any,Sheridan Arena,2 - Keta,
Swablu,Static,Any,Evergreen Forest,6 - Crawli,
Swalot,Static,Any,Route 6,8 - Amber,Requires Starfall Weather
Sylveon,Story,Any,Alamissa Urben,13 - Adam,"Received from Ren, obtained automatically through story progression."
Teddiursa,Static,Any,Route 1,4 - Narcissa,
Tentacool,Static,Any,Mynori Sea,5 - Valarie,
Tepig,Static,Any,Valor Mountain (Fiery),8 - Amber,"Post Valor Mountain events, located on Xen base roof"
Throh,Event,Any,Sheridan Village,4 - Narcissa,
Togepi,Event,Any,Tyluric Temple,15 - Saki,Defeat Kecleon while it is Fairy/Flying
Totodile,Event,Night,Chrisola Hotel,6 - Crawli,"Go to the Chrisola Pool at night time, and interact with the dark spot in the pool. Feed it a Gorumet Treat."
Trapinch,Static,Any,Sand Stream Cave,13 - Adam,Requires the Scented Lure from I need to get stronger!
Treecko,Event,Any,Sheridan Village,6 - Crawli,Feed it a Gourmet Treat
Turtwig,Event,Any,West Gearen City,9 - Erick,Complete all of the Help Plaza requests
Type: Null,Event,Any,River's End,6 - Crawli,"Complete ""The Inconsistency"" Quest"
Tyraunt,Event,Any,Festival Plaza,11 - Magenta & Neon,Fish up the fossil with Gourmet Bait. Revive post fly
Tyrogue,Event,Any,Aquamarine Depths,7 - Angie,Trade a Protein for Tyrogue.
Unown,Event,Night,Gearen Park,1 - Venam,Interact with the hole in the ground at night.
Unown,Static,Any,Gearen Park,13 - Adam,
Uxie,Static,Any,Den of Acuity,.Karma Files,Den of Acuity is located in Aquamarine Cave via diving. Not available on Renegade
Venipede,Static,Any,Route 7,10 - Flora,
Vespiquen,Event,Any,Tower of Theolia,7 - Angie,
Vespiquen,Static,Any,Botanical Garden,11 - Magenta & Neon,
Vibrava,Static,Any,Sand Stream Cave,13 - Adam,Requires the Scented Lure from I need to get stronger!
Vileplume,Static,Any,Deep Terajuma (South),5 - Valarie,
Voltorb,Event,Any,East Gearen (Right),1 - Venam,"Talk to the person standing outside of Petal Salon, and buy 4 Pokeballs."
Vulpix,Static,Any,Valor Mountain (Fiery),8 - Amber,
Vulpix (Alolan),Trade,Any,Kristiline Town,8 - Amber,Alolan Sandslash
Whirlipede,Event,Any,Tower of Theolia,7 - Angie,
Whismur,Static,Any,Route 1,2 - Keta,Feed a Gourmet Treat
Wimpod,Static,Any,Mirimura Cave,6 - Crawli,
Wimpod,Static,Any,Route 6,8 - Amber,
Wimpod (Aevian),Static,Any,Fort Rystrine,13 - Adam,
Wingull,Static,Any,Route 10,13 - Adam,
Wobbuffet,Static,Any,Darchlight Caves,10 - Flora,
Woobat,Static,Any,Aquamarine Cave,7 - Angie,
Wooloo,Static,Day,Route 4 (North),5 - Valarie,
Wooper,Static,Any,Helojak Island,6 - Crawli,
Wynaut,Static,Any,Darchlight Caves,10 - Flora,
Yanma,Static,Any,Goldenwood Forest,2 - Keta,
Zapdos,Event,Any,Goldenwood Park,.Karma Files,
Zorua,Event,Any,Mirage Cave,4 - Narcissa,"Complete ""Broken Bell"" quest"
Zorua (Hisuian),Event,Any,Cubi Excellus,8 - Amber,Complete the large statue puzzle.
Zubat,Event,Any,Mirage Cave,4 - Narcissa,"Complete ""Cranky Crobat"" quest"
Zygarde,Event,Any,East Gearen Help Plaza,13 - Adam,"Requires 100 Zygade Cells, and 1 Core"
